anio,C2F6 (t),CF4 (t),CH4 (t),CO (t),CO2 (t),CO2e (t) GTP-AR2,CO2e (t) GTP-AR4,CO2e (t) GTP-AR5,CO2e (t) GTP-AR6,CO2e (t) GWP-AR2,CO2e (t) GWP-AR4,CO2e (t) GWP-AR5,CO2e (t) GWP-AR6,COVNM (t),HFC-125 (t),HFC-134a (t),HFC-143a (t),HFC-152a (t),HFC-23 (t),HFC-32 (t),N2O (t),NOx (t),SF6 (t)
2005,1.7165009470248698,20.64861220006281,4190.234070037189,2617.2100784724694,409271.7818114777,255348.50990740853,255348.50990740853,250404.09610761612,252502.63882554413,297627.6466994404,306652.84659159044,308198.23622093187,310353.3582964686,1006.4450029932304,124.9,4050.6,92.9,174.8,0.0,0.0,98.40130203791342,634.5085395151418,12.575
2006,1.733592120631963,20.30240332864861,4034.676759178711,2603.7632684605096,339484.9096831791,216174.71445338472,216174.71445338472,211356.11104744478,213329.8771802487,256848.50798571538,265547.6662967254,267375.31436305767,269045.5906847108,1243.6731448336939,251.7,3467.7,215.7,280.0,0.0,0.0,95.33745037577262,638.8421298004039,14.0
2007,1.6491633526498959,19.551498328218713,3765.0485527620485,2694.853040944466,294829.62324361684,190210.42777336188,190210.42777336188,185676.58723970316,187528.30546181716,228590.73341471277,236736.28003926107,238488.28840211756,239962.07296022426,1043.6655575075742,285.0,5741.1,252.0,0.0,0.0,71.8,91.25129368782746,670.6367003597187,16.3
2008,1.5974354717250747,19.035886732060202,3807.397927778174,2709.595001783988,293018.361152039,189430.14525449273,189430.14525449273,184810.73129360445,186650.40215685227,227880.19134519636,236091.16150801638,237946.93852910362,239334.36842248126,1349.5049473936906,302.1,3458.1,307.4,0.0,0.0,42.0,91.65717977780402,708.4496938155763,16.45
2009,1.0659935794302446,13.706961065776214,3742.79563302351,2376.483830659009,225585.3460492301,151609.65356127213,151609.65356127213,147164.49673698988,148962.66165794744,189672.14200925583,197788.60189676314,200018.10368630782,200979.03997884813,1343.8635761461226,358.7,5138.3,320.9,0.0,0.0,87.2,88.42519368179646,674.7468717749204,10.05
2010,0.9844438370233726,12.796066563441974,3787.6927358871303,2429.505465135973,224152.6307798434,151509.99351319566,151509.99351319566,146989.85016856916,148814.97484671083,190395.88576488083,198647.2386184486,200859.03815358222,201854.93297996,1521.9703658312512,501.2,7034.3,467.1,0.0,0.0,105.9,91.1729771605912,710.0874535755886,3.7
2011,0.8765388783811768,11.207334007092534,3772.085551243867,2291.701526216611,230800.4414009296,155828.96068156467,155828.96068156467,151213.32151573861,153010.66867130809,194568.31403071317,202730.9259003811,204789.1922269499,205832.2551049525,1572.5937201726538,468.407272727258,6258.29090909101,432.663636363635,0.0,0.0,113.599999999999,95.2042132146393,716.7023911180767,3.889999999999985
2012,0.9060564141179044,11.719239148666965,3782.4289768270637,2192.3115973336094,252570.17458954136,167844.83399892514,167844.83399892514,163215.7949031457,165044.95133619258,206750.2568612405,214949.89621292127,216884.45686994938,218094.0938193402,1563.0828353923282,514.714545454539,6670.83636363642,476.227272727265,0.0,0.0,128.349999999999,95.33044456779035,741.0508985563445,4.024999999999975
2013,0.8076966812287726,10.3864840110238,3858.863908293682,2134.9018638197063,283081.3719767324,185675.0014417958,185675.0014417958,180884.39271069257,182769.22999232198,225493.635922496,233845.05295287145,235588.13673047445,237034.33261176333,1616.414260021456,561.021818181805,7083.38181818183,519.790909090894,0.0,0.0,143.099999999999,99.95381020084331,775.4569524069501,4.15999999999997
2014,0.5787676189906359,7.3720845584628725,3856.3467129046066,2135.87561291725,270656.89903124527,178917.59156093147,178917.59156093147,174124.39128164458,176000.95966132786,218797.5265433683,227152.13496870303,228952.24776931858,230326.6680438446,1590.0071596998862,607.329090909087,7495.92727272736,563.354545454538,0.0,0.0,157.849999999999,100.21311540292234,794.5294923154015,4.295000000000015
2015,0.47744383556977504,6.136245061327501,3992.254029144428,2037.0682510171873,290361.6412277222,190356.37357488103,190356.37357488103,185452.9128298727,187416.45161451504,231607.67153812246,240281.27666797792,242144.46766864634,243636.17147434384,1499.4632191089688,653.636363636353,7908.47272727278,606.918181818168,0.0,0.0,172.599999999999,101.41617864774668,751.179087175534,4.430000000000005
2016,0.5132233906957335,6.69871474042755,4061.0991556360646,1920.2664966993786,290019.57666866184,191131.76841244826,191131.76841244826,186087.16590026722,188095.88543736894,233197.806460726,242013.52539394636,243871.94305851936,245406.4452013211,1474.1858326306742,699.94363636362,8321.01818181819,650.481818181812,0.0,0.0,187.349999999999,105.26170521115068,698.0560985444828,4.565
2017,0.5250542671709787,6.869938922106417,3959.9044716773233,1944.4215451751272,261710.38036073963,175410.90867559376,175410.90867559376,170415.2184935302,172361.59910856414,216608.69758267945,225200.38620117606,227062.84682766904,228442.86213061766,1360.0681306549322,746.250909090901,8733.56363636371,694.045454545441,0.0,0.0,202.099999999999,105.51564337929865,699.6087243687366,4.69999999999999
2018,0.4742258468801705,6.371409362127232,3997.8723683253647,2038.4935733119205,269982.3777553725,179964.2187359082,179964.2187359082,174959.71469221739,176944.75432388758,221567.87994157395,230266.34426449536,232136.4716130781,233593.0954205567,1405.981486895864,792.558181818167,9146.10909090912,737.609090909085,0.0,0.0,216.849999999999,104.89782867869596,688.4509813893122,4.83499999999998
2019,0.45131509861715197,6.004691857344931,4081.2153305360284,2006.5355350143343,300435.28391542396,197451.0936249982,197451.0936249982,192324.42322857727,194380.50149819633,239978.9076466745,248861.11752053976,250584.24846919026,252286.12389520934,1479.0999514641742,838.865454545448,9558.65454545454,781.172727272715,0.0,0.0,231.599999999999,107.66567218588246,692.3859568117806,4.96999999999997
2020,0.4755397940058619,6.3269984488880615,4151.676285517012,1978.3192893444834,299235.3745740907,197952.3913007864,197952.3913007864,192658.31944121505,194752.05175676217,241339.221567157,250358.52637582098,252049.5923730172,253797.8300663961,1474.528381185505,885.172727272715,9971.20000000007,824.736363636359,0.0,0.0,246.349999999999,112.53946132340536,638.9282348786118,5.105
2021,0.5356503562024864,7.12676208291769,4286.231596875661,2021.5197190895237,349280.4823078442,227071.0437329513,227071.0437329513,221524.0920244153,223695.68923693895,271965.0514084186,281255.33671120054,282686.7057129311,284770.02584882727,1489.4403898360968,931.479999999996,10383.7454545455,868.299999999988,0.0,0.0,261.099999999999,119.29531085331631,679.3954307680301,5.24
